넘버링,총 운세 옵션 2 (선택 2),행운 항목 1,행운 결과 1,행운 항목 2,행운 결과 2,행운 항목 3,행운 결과 3,추천 음악 제목,추천 아티스트,타겟 제품코드
73,흩어진 퍼즐 조각이 맞춰지듯 답을 찾습니다.,오늘의 향기,오렌지,오늘의 음식,구슬 아이스크림,오늘의 귀인과 함께하세요,달리기를 잘 하는 사람,Answer,BUMP OF CHICKEN,
79,밤샘 공부나 작업이 빛을 발해 최고의 점수를 얻습니다.,오늘의 향기,커피,오늘의 음식,초콜릿,오늘의 귀인과 함께하세요,점프를 높이 뛰는 사람,열정,유승준,
193,재능을 펼칠 기회가 보입니다,오늘의 향기,라벤더,오늘의 음식,삼겹살,오늘의 귀인과 함께하세요,손톱이 예쁜 사람,새로운 출발,SG 워너비,
7,당신의 가능성을 보여줄 기회가 옵니다.,오늘의 컬러,살구색,오늘의 음식,따뜻한 아메리카노,오늘의 귀인과 함께하세요,손을 든 사람,기회,윤도현밴드,bts-003
30,마음을 다잡기 좋은 하루입니다.,오늘의 컬러,실버,오늘의 음식,샌드위치,오늘의 귀인과 함께하세요,안경을 쓴 사람,마음,아이유,svt-008
32,금전 흐름을 점검해보기 좋은 날입니다.,오늘의 컬러,노란색,오늘의 음식,돼지국밥,오늘의 귀인과 함께하세요,머리를 민 사람,돈 (Money),리사,txt-001
34,뜻밖의 행운이 스쳐 지나갈 수 있습니다.,오늘의 컬러,체리레드,오늘의 음식,찹쌀떡,오늘의 귀인과 함께하세요,보고있는 문을 세번째로 넘어오는 사람,로또,EXO,
45,밤이 깊어질수록 좋은 기운이 또렷해집니다.,오늘의 컬러,미드나잇블루,오늘의 음식,탄산수,오늘의 귀인과 함께하세요,횡단보도 건너편에 있는 사람,별이 빛나는 밤,마마무,
53,밝은 에너지가 일상에 스며듭니다.,오늘의 컬러,라임,오늘의 음식,과일 샐러드,오늘의 귀인과 함께하세요,자는 사람,빨간 맛,레드벨벳,
61,답답함이 걷히고 상쾌한 전환이 옵니다.,오늘의 컬러,민트,오늘의 음식,민트 사탕,오늘의 귀인과 함께하세요,반지를 낀 사람,Soda Pop,Saja Boys&Andrew Choi&Neckwav&대니 정&Kevin Woo&samUIL Lee&KPop Demon Hunters Cast,
65,새로운 배움에서 즐거움을 느낍니다.,오늘의 컬러,카키,오늘의 음식,녹차,오늘의 귀인과 함께하세요,일기를 쓰는 사람,New Rules,Dua Lipa,
69,재능을 발휘할 여지가 충분합니다.,오늘의 컬러,네이비,오늘의 음식,에너지바,오늘의 귀인과 함께하세요,카페 점원,아이돌 (Idol),YOASOBI,
83,따뜻한 관계가 오래 이어질 운입니다,오늘의 컬러,베이지,오늘의 음식,따뜻한 음료,오늘의 귀인과 함께하세요,요리를 잘 하는 사람,With You,Yuuri,
91,주변의 칭찬과 인정이 끊이지 않는 시기입니다.,오늘의 컬러,골드,오늘의 음식,고급 케이크,오늘의 귀인과 함께하세요,검은 머리의 사람,잘하고 있어,Stray Kids,
112,잃어버렸다고 생각했던 물건을 되찾게 됩니다.,오늘의 귀인과 함께하세요,초등학교 친구,오늘의 음식,분식 세트,오늘의 귀인과 함께하세요,입이 큰 사람,오래된 노래,김동률,
142,주변과 호흡이 잘 맞아 좋은 결과를 만듭니다,오늘의 귀인과 함께하세요,CEO,오늘의 음식,김밥,오늘의 귀인과 함께하세요,손이 큰 사람,TEAM,백예린,
163,소소한 행복을 발견하게 됩니다,오늘의 귀인과 함께하세요,강아지,오늘의 음식,핫도그,오늘의 귀인과 함께하세요,키가 큰 사람,소확행,마마무,
172,뜻밖의 인연을 만나게 됩니다,오늘의 귀인과 함께하세요,낯선 여행자,오늘의 음식,특색 있는 요리,오늘의 귀인과 함께하세요,손가락이 긴 사람,우연히,이문세,
183,진솔한 대화가 큰 힘이 됩니다,오늘의 귀인과 함께하세요,친한 친구,오늘의 음식,따뜻한 국물,오늘의 귀인과 함께하세요,달리기를 잘 하는 사람,Tell me,원더걸스,
197,가족과 좋은 시간을 보냅니다,오늘의 귀인과 함께하세요,부모님,오늘의 음식,떡케이크,오늘의 귀인과 함께하세요,점프를 높이 뛰는 사람,가족,이승철,
13,노력한 만큼 보람을 느끼게 됩니다.,오늘의 아이템,손목 보호대,오늘의 음식,프로틴 쉐이크,오늘의 귀인과 함께하세요,손톱이 예쁜 사람,해낼 수 있어,이적,enhp-005
101,예상치 못한 제의를 받게 됩니다.,오늘의 아이템,만년필,오늘의 음식,사골국,오늘의 귀인과 함께하세요,손을 든 사람,이름이 뭐예요,4minute,
121,꿈꿔왔던 여행 계획이 순조롭게 진행됩니다.,오늘의 아이템,여권 케이스,오늘의 음식,현지 음식,오늘의 귀인과 함께하세요,안경을 쓴 사람,떠나요 둘이서,"씨스타, 효린",
154,새로운 방식으로 생각을 표현하게 됩니다,오늘의 아이템,마이크,오늘의 음식,목캔디,오늘의 귀인과 함께하세요,머리를 민 사람,나의 목소리,이적,
47,설레는 시작을 기대해도 좋습니다.,오늘의 숫자,90,오늘의 음식,피크닉 도시락,오늘의 귀인과 함께하세요,보고있는 문을 세번째로 넘어오는 사람,봄 사랑 벚꽃 말고,"하이포, 아이유",
67,평온한 흐름 속에서 마음이 정돈됩니다.,오늘의 숫자,55,오늘의 음식,허브차,오늘의 귀인과 함께하세요,횡단보도 건너편에 있는 사람,Slow & Easy,Hikaru Utada,
71,세련된 리듬에 맞춰 삶의 속도를 조절합니다.,오늘의 숫자,65,오늘의 음식,탄산수,오늘의 귀인과 함께하세요,자는 사람,Tempo,EXO,
87,주저함 없이 나설수록 존재감이 또렷해지는 하루입니다.,오늘의 숫자,11,오늘의 음식,팀원 간식,오늘의 귀인과 함께하세요,반지를 낀 사람,위풍당당,카라,
123,당신의 실력을 인정받아 새로운 기회를 잡습니다.,오늘의 숫자,9,오늘의 음식,에너지바,오늘의 귀인과 함께하세요,일기를 쓰는 사람,내일을 위한 시간,소녀시대 태연,
19,가는 곳마다 분위기가 부드럽습니다.,오늘의 장소,꽃밭,오늘의 음식,꽃잎차,오늘의 귀인과 함께하세요,카페 점원,꽃길,세정,illit-001
37,달콤한 휴식이 기운을 채워줍니다.,오늘의 장소,편의점,오늘의 음식,다크 초콜릿,오늘의 귀인과 함께하세요,요리를 잘 하는 사람,맛있는 편의점 레시피,오마이걸,
148,일상에 기분 좋은 서프라이즈가 찾아옵니다,오늘의 장소,백화점,오늘의 음식,고급 케이크,오늘의 귀인과 함께하세요,검은 머리의 사람,Surprise,이승기,
178,우연한 만남이 즐거움을 줍니다,오늘의 장소,전문 서점,오늘의 음식,샌드위치,오늘의 귀인과 함께하세요,입이 큰 사람,우연히 봄,"로꼬, 유주",
189,인연의 흐름이 자연스럽게 이어집니다,오늘의 장소,놀이동산,오늘의 음식,솜사탕,오늘의 귀인과 함께하세요,손이 큰 사람,우리 사랑 이대로,젝스키스,
25,부드러운 말 한마디가 위로가 됩니다.,오늘의 향기,백합,오늘의 장소,조용한 공원,오늘의 귀인과 함께하세요,키가 큰 사람,수고했어 오늘도,옥상달빛,svt-003
39,당신의 말과 생각이 자연스럽게 전해집니다.,오늘의 향기,우드,오늘의 장소,방송국,오늘의 귀인과 함께하세요,손가락이 긴 사람,목소리,김진호,
14,기다리던 흐름이 천천히 다가옵니다.,오늘의 컬러,브론즈,오늘의 장소,카페 테라스,오늘의 귀인과 함께하세요,달리기를 잘 하는 사람,기다리다,윤하,enhp-006
102,연인과의 관계가 한층 더 깊고 안정적으로 발전합니다.,오늘의 컬러,버건디,오늘의 장소,조용한 갤러리,오늘의 귀인과 함께하세요,점프를 높이 뛰는 사람,"Love, Love, Love",에픽하이,
182,통찰력이 새로운 기회를 발견합니다,오늘의 컬러,골드,오늘의 장소,인적 드문 곳,오늘의 귀인과 함께하세요,손톱이 예쁜 사람,보인다,헤이즈,
192,문제의 핵심이 또렷해집니다,오늘의 컬러,버건디,오늘의 장소,박물관,오늘의 귀인과 함께하세요,손을 든 사람,지혜,넬,
198,뜻밖의 순간에 힌트를 얻습니다,오늘의 컬러,인디고,오늘의 장소,헌책방,오늘의 귀인과 함께하세요,안경을 쓴 사람,해답,이적,
4,집안에 따뜻한 웃음이 번집니다.,오늘의 음식,닭볶음탕,오늘의 장소,본가,오늘의 귀인과 함께하세요,머리를 민 사람,가족사진,김진호,bnd-002
41,넓은 마음이 상황을 부드럽게 만듭니다.,오늘의 음식,회,오늘의 장소,바다 근처 식당,오늘의 귀인과 함께하세요,보고있는 문을 세번째로 넘어오는 사람,바다,코요태,
43,마음을 쉬게 할 시간이 생깁니다.,오늘의 음식,따뜻한 차,오늘의 장소,조용한 방,오늘의 귀인과 함께하세요,횡단보도 건너편에 있는 사람,밤편지,아이유,
75,차분한 공간에서 나눈 약속이 오래 남습니다.,오늘의 음식,스테이크,오늘의 장소,고급 레스토랑,오늘의 귀인과 함께하세요,자는 사람,약속,지민(BTS),
77,당신의 목소리가 사람들에게 큰 울림을 줍니다.,오늘의 음식,따뜻한 레몬차,오늘의 장소,노래방,오늘의 귀인과 함께하세요,반지를 낀 사람,Speechless,Naomi Scott,
81,옛 친구에게 연락이 와 즐거운 시간을 보냅니다.,오늘의 음식,막걸리,오늘의 장소,초등학교 동창회,오늘의 귀인과 함께하세요,일기를 쓰는 사람,옛사랑,이문세,
100,도서관이나 서점에서 귀중한 지혜를 얻습니다.,오늘의 음식,따뜻한 코코아,오늘의 장소,도서관,오늘의 귀인과 함께하세요,카페 점원,책을 읽자,루시드폴,
127,묵은 감정을 털어내고 새로운 우정을 시작합니다.,오늘의 음식,김치찌개,오늘의 장소,동네 식당,오늘의 귀인과 함께하세요,요리를 잘 하는 사람,괜찮아 괜찮아,육성재,
170,마음을 정리하며 여유를 찾습니다,오늘의 음식,따뜻한 우엉차,오늘의 장소,절,오늘의 귀인과 함께하세요,검은 머리의 사람,내려놓기,아이유,
185,조언을 통해 방향이 또렷해집니다,오늘의 음식,비싼 커피,오늘의 장소,컨퍼런스 홀,오늘의 귀인과 함께하세요,입이 큰 사람,방향,넬,
27,뜻밖의 만남이 기분 좋은 변화를 줍니다.,오늘의 귀인과 함께하세요,운명의 상대,오늘의 장소,오래된 서점,오늘의 귀인과 함께하세요,손이 큰 사람,만남,노사연,svt-005
6,잠시 잊었던 바람이 다시 움직입니다.,오늘의 아이템,장우산,오늘의 장소,집 근처 마트,오늘의 귀인과 함께하세요,키가 큰 사람,거위의 꿈,인순이,bts-002
22,능력을 펼칠 여지가 넓어집니다.,오늘의 아이템,새장 장식,오늘의 장소,바닷가,오늘의 귀인과 함께하세요,손가락이 긴 사람,I Can Do This All Day,DAY6,le-002
31,기다리던 소식이 반갑게 닿습니다.,오늘의 아이템,편지지,오늘의 장소,우체통,오늘의 귀인과 함께하세요,달리기를 잘 하는 사람,답장,김동률,tws-001
33,답답한 마음을 내려놓고 떠나기 좋은 날입니다.,오늘의 아이템,여행용 가방,오늘의 장소,기차역,오늘의 귀인과 함께하세요,점프를 높이 뛰는 사람,떠나자,비,txt-002
46,작은 것에서 가치를 발견하게 됩니다.,오늘의 아이템,돋보기,오늘의 장소,골동품 가게,오늘의 귀인과 함께하세요,손톱이 예쁜 사람,보석,비비,
48,마음이 차분해지고 여유가 생깁니다.,오늘의 아이템,식물,오늘의 장소,햇빛 드는 창가,오늘의 귀인과 함께하세요,손을 든 사람,Sunny,YOASOBI,
50,생각을 비우면 길이 보입니다.,오늘의 아이템,명상 종,오늘의 장소,사찰,오늘의 귀인과 함께하세요,안경을 쓴 사람,Let It Be ,The Beatles,
52,어둠 속에서도 희망의 실마리를 찾습니다.,오늘의 아이템,손전등,오늘의 장소,어두운 골목,오늘의 귀인과 함께하세요,머리를 민 사람,빛,HOT,
54,단단한 마음이 좋은 결과로 이어집니다.,오늘의 아이템,다이어리,오늘의 장소,도서관,오늘의 귀인과 함께하세요,보고있는 문을 세번째로 넘어오는 사람,뿌리,가리온,
58,정신이 맑게 유지되는 하루입니다.,오늘의 아이템,차 거름망,오늘의 장소,숲 속 산책로,오늘의 귀인과 함께하세요,횡단보도 건너편에 있는 사람,상쾌한 아침,페퍼톤스,
62,당신의 진심이 관계를 부드럽게 만듭니다.,오늘의 아이템,벙어리 장갑,오늘의 장소,버스 정류장,오늘의 귀인과 함께하세요,자는 사람,손잡아 줘요,이하이,
64,애쓴 시간이 의미 있게 느껴집니다.,오늘의 아이템,스탠드 조명,오늘의 장소,독서실,오늘의 귀인과 함께하세요,반지를 낀 사람,수고했어 오늘도,옥상달빛,
66,보이지 않는 도움의 기운이 있습니다.,오늘의 아이템,날개 뱃지,오늘의 장소,병원,오늘의 귀인과 함께하세요,일기를 쓰는 사람,수호천사,김장훈,
68,오래된 취향이 다시 힘이 됩니다.,오늘의 아이템,북마크,오늘의 장소,오래된 카페,오늘의 귀인과 함께하세요,카페 점원,"스물다섯, 스물하나",자우림,
70,사랑하는 가족과 함께 캠핑을 하며 힐링할 운세입니다.,오늘의 아이템,캠핑용 의자,오늘의 장소,캠핑장,오늘의 귀인과 함께하세요,요리를 잘 하는 사람,아로하,조정석,
72,상쾌한 아침 공기처럼 기분 좋은 시작을 합니다.,오늘의 아이템,운동용 텀블러,오늘의 장소,새벽 운동장,오늘의 귀인과 함께하세요,검은 머리의 사람,아침 (Morning),김광석,
84,일과 삶의 균형을 찾아 진정한 행복을 느낍니다.,오늘의 아이템,요가 밴드,오늘의 장소,공원,오늘의 귀인과 함께하세요,입이 큰 사람,워라밸,펜타곤,
86,흔들리지 않는 편안함 속에서 깊은 사색을 즐깁니다.,오늘의 아이템,흔들의자 인형,오늘의 장소,조용한 서재,오늘의 귀인과 함께하세요,손이 큰 사람,위로,어반자카파,
88,어려운 시험이나 자격증 취득에 운이 따릅니다.,오늘의 아이템,수험용 펜,오늘의 장소,시험장,오늘의 귀인과 함께하세요,키가 큰 사람,응원,신해철,
90,소소한 일상에서 큰 행복을 발견하게 됩니다.,오늘의 아이템,머그컵,오늘의 장소,집 근처 카페,오늘의 귀인과 함께하세요,손가락이 긴 사람,작은 것들을 위한 시,BTS,
92,정글 같은 세상에서 승리자로 우뚝 서게 될 운세입니다.,오늘의 아이템,카모플라쥬 패턴,오늘의 장소,밀림 공원,오늘의 귀인과 함께하세요,달리기를 잘 하는 사람,전사 후예,HOT,
94,여행지에서 잊지 못할 낭만적인 경험을 합니다.,오늘의 아이템,캐리어 네임택,오늘의 장소,제주도,오늘의 귀인과 함께하세요,점프를 높이 뛰는 사람,제주도의 푸른 밤,태연,
119,건강이 회복되고 활력이 넘쳐나는 시기입니다.,오늘의 아이템,줄넘기,오늘의 장소,야외 농구장,오늘의 귀인과 함께하세요,손톱이 예쁜 사람,건강하게 살자,노라조,
114,예상치 못한 수입이 생깁니다.,오늘의 숫자,10,오늘의 장소,회사 회의실,오늘의 귀인과 함께하세요,손을 든 사람,탕진잼,딘딘,
113,당신 덕분에 주변 사람들이 기운을 얻습니다.,오늘의 향기,페퍼민트,오늘의 컬러,옐로우,오늘의 귀인과 함께하세요,안경을 쓴 사람,Cheer Up,TWICE,
120,봉사 활동이나 기부를 통해 큰 보람을 느낍니다.,오늘의 향기,자스민,오늘의 컬러,핑크,오늘의 귀인과 함께하세요,머리를 민 사람,아름다운 세상,박효신,
166,집중력이 높아져 일의 효율이 오릅니다,오늘의 향기,로즈마리,오늘의 컬러,옐로우,오늘의 귀인과 함께하세요,보고있는 문을 세번째로 넘어오는 사람,집중,다이나믹 듀오,
186,내면이 단단해지는 계기가 생깁니다,오늘의 향기,미르,오늘의 컬러,카키,오늘의 귀인과 함께하세요,횡단보도 건너편에 있는 사람,강해져,GGARR,
200,작은 습관이 좋은 변화를 만듭니다,오늘의 향기,민트,오늘의 컬러,라임,오늘의 귀인과 함께하세요,자는 사람,일상의 습관,카더가든,
28,당신의 따뜻함이 주변에 전해집니다.,오늘의 음식,핫팩,오늘의 컬러,웜베이지,오늘의 귀인과 함께하세요,반지를 낀 사람,Warm,Charli Puth,svt-006
55,바라던 흐름이 점점 또렷해집니다.,오늘의 음식,탄산수,오늘의 컬러,아쿠아블루,오늘의 귀인과 함께하세요,일기를 쓰는 사람,사이다,노라조,
59,새로운 취미가 일상에 활력을 줍니다.,오늘의 음식,레몬 사탕,오늘의 컬러,애플그린,오늘의 귀인과 함께하세요,카페 점원,상큼상큼,라붐,
